ticker,snapshot_date,kurs_zamkniecia,zmiana_procentowa,zmiana_kwotowa,source
BAC,2025-08-13,2.6977,-1.06,-0.029,
BAC,2025-08-14,2.8427,5.38,0.145,
BAC,2025-08-18,2.7654,-2.72,-0.0774,
BAC,2025-08-19,2.9007,4.9,0.1354,
BAC,2025-08-20,3.0361,4.67,0.1354,
BAC,2025-08-21,2.9007,-4.46,-0.1354,
BAC,2025-08-22,2.9007,0.0,0.0,
BAC,2025-08-25,3.1038,7.0,0.2031,
BAC,2025-08-26,3.3068,6.54,0.203,
BAC,2025-08-27,3.2005,-3.22,-0.1064,
BAC,2025-08-28,3.1715,-0.91,-0.029,
BAC,2025-08-29,3.1715,0.0,0.0,
BAC,2025-09-01,3.1135,-1.83,-0.058,
BAC,2025-09-02,3.1425,0.93,0.029,
BAC,2025-09-03,3.1521,0.31,0.0097,
BAC,2025-09-04,3.1618,0.31,0.0097,
BAC,2025-09-05,3.1328,-0.92,-0.029,
BAC,2025-09-08,3.0844,-1.54,-0.0483,
BAC,2025-09-09,3.0941,0.31,0.0097,
BAC,2025-09-10,3.0748,-0.63,-0.0193,
BAC,2025-09-11,3.0844,0.31,0.0097,
BAC,2025-09-12,3.0844,0.0,0.0,
BAC,2025-09-15,3.2875,6.58,0.2031,
BAC,2025-09-16,3.1425,-4.41,-0.145,
BAC,2025-09-17,3.0554,-2.77,-0.087,
BAC,2025-09-18,3.1908,4.43,0.1354,
BAC,2025-09-19,3.2295,1.21,0.0387,
BAC,2025-09-22,3.2972,2.1,0.0677,
BAC,2025-09-23,3.4422,4.4,0.145,
BAC,2025-09-24,3.4422,0.0,0.0,
BAC,2025-09-25,3.4325,-0.28,-0.0097,
BAC,2025-09-26,3.3068,-3.66,-0.1257,
BAC,2025-09-29,3.2295,-2.34,-0.0773,
BAC,2025-09-30,3.3745,4.49,0.145,
BAC,2025-10-01,3.2585,-3.44,-0.116,
BAC,2025-10-02,3.2778,0.59,0.0193,
BAC,2025-10-03,3.3745,2.95,0.0967,
BAC,2025-10-06,3.3359,-1.15,-0.0387,
BAC,2025-10-07,3.3262,-0.29,-0.0097,
BAC,2025-10-08,3.2488,-2.33,-0.0774,
BAC,2025-10-09,3.2585,0.3,0.0097,
BAC,2025-10-10,3.3068,1.48,0.0483,
BAC,2025-10-13,3.2391,-2.05,-0.0677,
BAC,2025-10-14,2.9201,-9.85,-0.3191,
BAC,2025-10-15,3.3842,15.89,0.4641,
BAC,2025-10-16,3.1908,-5.71,-0.1934,
BAC,2025-10-17,3.2875,3.03,0.0967,
BAC,2025-10-20,3.2875,0.0,0.0,
BAC,2025-10-21,3.2875,0.0,0.0,
BAC,2025-10-22,3.2778,-0.29,-0.0097,
BAC,2025-10-23,3.1715,-3.24,-0.1064,
BAC,2025-10-24,3.1425,-0.91,-0.029,
BAC,2025-10-27,3.1038,-1.23,-0.0387,
BAC,2025-10-28,3.1425,1.25,0.0387,
BAC,2025-10-29,3.1328,-0.31,-0.0097,
BAC,2025-10-30,3.1038,-0.93,-0.029,
BAC,2025-10-31,3.0458,-1.87,-0.058,
BAC,2025-11-03,3.0458,0.0,0.0,
BAC,2025-11-04,3.0168,-0.95,-0.029,
BAC,2025-11-05,2.9974,-0.64,-0.0193,
BAC,2025-11-06,3.0361,1.29,0.0387,
BAC,2025-11-07,3.1521,3.82,0.116,
BAC,2025-11-10,3.0651,-2.76,-0.087,
BAC,2025-11-12,3.0361,-0.95,-0.029,
BAC,2025-11-13,3.0361,0.0,0.0,
BAC,2025-11-14,2.9297,-3.5,-0.1064,
BAC,2025-11-17,2.9007,-0.99,-0.029,
BAC,2025-11-18,2.9007,0.0,0.0,
BAC,2025-11-19,3.0264,4.33,0.1257,
BAC,2025-11-20,2.9588,-2.24,-0.0677,
BAC,2025-11-21,3.0071,1.63,0.0483,
BAC,2025-11-24,3.0458,1.29,0.0387,
BAC,2025-11-25,3.1715,4.13,0.1257,
BAC,2025-11-26,3.1715,0.0,0.0,
BAC,2025-11-27,3.1038,-2.13,-0.0677,
BAC,2025-11-28,3.1038,0.0,0.0,
BAC,2025-12-01,3.0458,-1.87,-0.058,
BAC,2025-12-02,2.9781,-2.22,-0.0677,
BAC,2025-12-03,3.0361,1.95,0.058,
BAC,2025-12-04,2.9588,-2.55,-0.0773,
BAC,2025-12-05,2.9974,1.31,0.0387,
BAC,2025-12-08,2.9974,0.0,0.0,
BAC,2025-12-09,3.0458,1.61,0.0483,
BAC,2025-12-10,2.9974,-1.59,-0.0483,
BAC,2025-12-11,2.9974,0.0,0.0,
BAC,2025-12-12,2.9974,0.0,0.0,
BAC,2025-12-15,2.9974,0.0,0.0,
BAC,2025-12-16,2.9974,0.0,0.0,
BAC,2025-12-17,2.9974,0.0,0.0,
BAC,2025-12-18,2.9974,0.0,0.0,
BAC,2025-12-19,2.9781,-0.65,-0.0193,
BAC,2025-12-22,2.9974,0.65,0.0193,
BAC,2025-12-23,2.9781,-0.65,-0.0193,
